size,time(ns)
3,2600
5,1400
7,2600
9,3400
11,3600
13,4200
15,5000
17,5800
19,6800
21,8000
23,9000
25,11000
27,12800
29,14600
31,14200
33,16400
35,17400
37,31800
39,20800
41,23000
43,25200
45,27000
47,28200
49,31200
51,33000
53,35000
55,37600
57,41200
59,42800
61,45400
63,47600
65,53200
67,49600
69,52200
71,55000
73,58000
75,60400
77,64600
79,66000
81,69400
83,73400
85,75400
87,79400
89,82600
91,86000
93,89200
95,94200
97,95000
99,90600
101,95400
103,95600
105,99200
107,101600
109,104800
111,108200
113,111800
115,115600
117,118800
119,122600
121,120600
123,121200
125,124600
127,127600
129,132800
131,135400
133,139200
135,142800
137,147600
139,143800
141,145400
143,148400
145,152000
147,155800
149,161000
151,163800
153,167400
155,162400
157,165600
159,169800
161,173400
163,177400
165,181600
167,184200
169,181200
171,185400
173,189000
175,192800
177,198200
179,201800
181,196600
183,200600
185,205000
187,209200
189,213600
191,215000
193,214800
195,218200
197,223200
199,226200
201,231600
203,227400
205,231400
207,235400
209,237800
211,237000
213,243000
215,246400
217,250400
219,251000
221,254200
223,257400
225,259600
227,262400
229,267800
231,267800
233,269400
235,273800
237,279600
239,280000
241,286400
243,292200
245,303800
247,306800
249,298000
251,313400
253,325200
255,325800
257,336200
259,335200
261,340600
263,345000
265,337000
267,355400
269,361400
271,366400
273,370400
275,377000
277,383000
279,386600
281,405800
283,398200
285,402600
287,414200
289,414600
291,421000
293,424800
295,430000
297,438800
299,444600
301,447400
303,452400
305,459400
307,464600
309,470000
311,482200
313,483000
315,487800
317,493600
319,501000
321,508000
323,513600
325,518800
327,527600
329,532400
331,540400
333,546400
335,550400
337,558400
339,565000
341,571600
343,576400
345,583200
347,590600
349,604600
351,604600
353,608200
355,616400
357,624000
359,630800
361,638000
363,643000
365,651800
367,657200
369,665800
371,672800
373,678800
375,684600
377,694400
379,699200
381,705800
383,717000
385,721200
387,728000
389,734400
391,744600
393,749600
395,756200
397,764000
399,772200
401,779400
403,788000
405,794000
407,803400
409,811600
411,817400
413,824800
415,835400
417,841200
419,849400
421,858200
423,867400
425,874200
427,881600
429,887600
431,897000
433,905200
435,911400
437,923000
439,930200
441,937600
443,946200
445,955200
447,965600
449,972200
451,979600
453,990600
455,996800
457,1006600
459,1014000
461,1023600
463,1032400
465,1040800
467,1048800
469,1058600
471,1065200
473,1076000
475,1082400
477,1091800
479,1102200
481,1110000
483,1118800
485,1135400
487,1139400
489,1150400
491,1159400
493,1167400
495,1175000
497,1187600
499,1195000
501,1205800
503,1215400
505,1223000
507,1232000
509,1242600
511,1253400
513,1266200
515,1270800
517,1279800
519,1291800
521,1298400
523,1308400
525,1318600
527,1328200
529,1337800
531,1347200
533,1357600
535,1369400
537,1378600
539,1387400
541,1398400
543,1410400
545,1417800
547,1430800
549,1441000
551,1448800
553,1459200
555,1471600
557,1479400
559,1490400
561,1501600
563,1512400
565,1522200
567,1533000
569,1542600
571,1554600
573,1564800
575,1577600
577,1586400
579,1596400
581,1608800
583,1619400
585,1630000
587,1641000
589,1655200
591,1662400
593,1675600
595,1687000
597,1695400
599,1708800
601,1719000
603,1732000
605,1741400
607,1752200
609,1762000
611,1776200
613,1789400
615,1799200
617,1810400
619,1822000
621,1830400
623,1842200
625,1853600
627,1865600
629,1879600
631,1890600
633,1904400
635,1918800
637,1925600
639,1939800
641,1955200
643,1960600
645,1974000
647,1986600
649,1997600
651,2010800
653,2022600
655,2035600
657,2045800
659,2058800
661,2070000
663,2084000
665,2094800
667,2108400
669,2120200
671,2130000
673,2144600
675,2155200
677,2169800
679,2182400
681,2196000
683,2209400
685,2225600
687,2232400
689,2245800
691,2260600
693,2272000
695,2283200
697,2300200
699,2308200
701,2323600
703,2334800
705,2350800
707,2364200
709,2379400
711,2393600
713,2403800
715,2419000
717,2434800
719,2445800
721,2459000
723,2472000
725,2485600
727,2498200
729,2510600
731,2527400
733,2540200
735,2554800
737,2568000
739,2581200
741,2595800
743,2608600
745,2621400
747,2638600
749,2650600
751,2663400
753,2677000
755,2692200
757,2706400
759,2720600
761,2736000
763,2748200
765,2764600
767,2776800
769,2793000
771,2805600
773,2818000
775,2830800
777,2846000
779,2862600
781,2875400
783,2889600
785,2908000
787,2918600
789,2936000
791,2950400
793,2965600
795,2976800
797,2992400
799,3007600
801,3022600
803,3039000
805,3054800
807,3068800
809,3083600
811,3097200
813,3114800
815,3127800
817,3142800
819,3160200
821,3173800
823,3190000
825,3203000
827,3219800
829,3235600
831,3247800
833,3269200
835,3282600
837,3295200
839,3312800
841,3331000
843,3344800
845,3361400
847,3376200
849,3393800
851,3410000
853,3422800
855,3441200
857,3455000
859,3470600
861,3486400
863,3502800
865,3522800
867,3536400
869,3552000
871,3564800
873,3582400
875,3599800
877,3620600
879,3632400
881,3648200
883,3664400
885,3685600
887,3698600
889,3719800
891,3729800
893,3747600
895,3764600
897,3788400
899,3803200
901,3819600
903,3836800
905,3849600
907,3867000
909,3887400
911,3903000
913,3918800
915,3935000
917,3956000
919,3971200
921,3986600
923,4004400
925,4020200
927,4039200
929,4056800
931,4076000
933,4089600
935,4107800
937,4123200
939,4145000
941,4164000
943,4178800
945,4195400
947,4215600
949,4238000
951,4255000
953,4265000
955,4285600
957,4304800
959,4321800
961,4337200
963,4355400
965,4368400
967,4386000
969,4404000
971,4423600
973,4440800
975,4458800
977,4481200
979,4494600
981,4512000
983,4536000
985,4553000
987,4572000
989,4589000
991,4608200
993,4626800
995,4646400
997,4662400
999,4681800
1001,4704600
